from,to,h,prior,n_subnodes,type,name,count
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(delete(repeat('1') 4) repeat('0')),-15.398973,7,INT,0,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(delete(repeat('1') 4) repeat('0')),-15.398973,7,INT,1,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(delete(repeat('1') 4) repeat('0')),-15.398973,7,INT,2,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(delete(repeat('1') 4) repeat('0')),-15.398973,7,INT,3,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(delete(repeat('1') 4) repeat('0')),-15.398973,7,INT,4,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(delete(repeat('1') 4) repeat('0')),-15.398973,7,INT,5,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(delete(repeat('1') 4) repeat('0')),-15.398973,7,INT,6,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(delete(repeat('1') 4) repeat('0')),-15.398973,7,INT,7,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(delete(repeat('1') 4) repeat('0')),-15.398973,7,INT,8,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(delete(repeat('1') 4) repeat('0')),-15.398973,7,INT,9,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(delete(repeat('1') 4) repeat('0')),-15.398973,7,INT,30,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(delete(repeat('1') 4) repeat('0')),-15.398973,7,SEQ,1,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(delete(repeat('1') 4) repeat('0')),-15.398973,7,SEQ,0,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(delete(repeat('1') 4) repeat('0')),-15.398973,7,SEQ,from_seq,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(delete(repeat('1') 4) repeat('0')),-15.398973,7,SEQ,invert,0
